"Agency","Site","Site AQS","Param","Param AQS","POC","Method","Duration","Date (UTC)","Time (UTC)","Date (LST)","Time (LST)","Offset (LST)","Value","Unit","QC Code"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/05/2018","05:00","02/05/2018","00:00","-05:00","37.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/05/2019","05:00","02/05/2019","00:00","-05:00","24.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/06/2017","05:00","02/06/2017","00:00","-05:00","33.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/06/2018","05:00","02/06/2018","00:00","-05:00","20.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/06/2019","05:00","02/06/2019","00:00","-05:00","21.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/07/2017","05:00","02/07/2017","00:00","-05:00","33.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/07/2018","05:00","02/07/2018","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/07/2019","05:00","02/07/2019","00:00","-05:00","19.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/08/2017","05:00","02/08/2017","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/08/2018","05:00","02/08/2018","00:00","-05:00","39.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/08/2019","05:00","02/08/2019","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/09/2017","05:00","02/09/2017","00:00","-05:00","36.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/09/2018","05:00","02/09/2018","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/09/2019","05:00","02/09/2019","00:00","-05:00","35.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/10/2017","05:00","02/10/2017","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/10/2018","05:00","02/10/2018","00:00","-05:00","13.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/10/2019","05:00","02/10/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/11/2017","05:00","02/11/2017","00:00","-05:00","18.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/11/2018","05:00","02/11/2018","00:00","-05:00","12.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/11/2019","05:00","02/11/2019","00:00","-05:00","23.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/12/2017","05:00","02/12/2017","00:00","-05:00","36.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/12/2018","05:00","02/12/2018","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/12/2019","05:00","02/12/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/13/2017","05:00","02/13/2017","00:00","-05:00","39.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/13/2018","05:00","02/13/2018","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/13/2019","05:00","02/13/2019","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/14/2017","05:00","02/14/2017","00:00","-05:00","26.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/14/2018","05:00","02/14/2018","00:00","-05:00","23.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/14/2019","05:00","02/14/2019","00:00","-05:00","32.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/15/2017","05:00","02/15/2017","00:00","-05:00","34.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/15/2018","05:00","02/15/2018","00:00","-05:00","5.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/15/2019","05:00","02/15/2019","00:00","-05:00","39.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/16/2017","05:00","02/16/2017","00:00","-05:00","31.0","AQI","0"
"MD1","Essex","240053001","O3","44201","1","","8 Hr begin time Avg-Daily Max","02/16/2018","05:00","02/16/2018","00:00","-05:00","34.0","AQI","0"
